Node Name,Status,Endpoint,Method,Relationship,Description
Alchemy Webhook,,Alchemy Webhook,,parent,Start workflow when webhook is called
BEP20 Function,,BEP20 Function,,parent,"Execute BEP20 function such as deposit, withdraw, get balance, etc"
BEP20 Function,,-> Deposit,,child,Deposit BNB into BEP20 token
BEP20 Function,,-> Withdraw,,child,Withdraw BNB from BEP20 token
BEP20 Function,,-> Get Allowance,,child,Returns the remaining number of tokens that spender will be allowed to spend on behalf of owner through transferFrom. This is zero by default.
BEP20 Function,,-> Approve,,child,Sets amount as the allowance of spender over the caller’s tokens.
BEP20 Function,,-> Get Balance,,child,Returns the amount of tokens owned by account
BEP20 Function,,-> Get BEP20 Decimals,,child,Returns the decimals of BEP20
BEP20 Function,,-> Get BEP20 Name,,child,Returns the name of BEP20
BEP20 Function,,-> Get BEP20 Symbol,,child,Returns the symbol of BEP20
BEP20 Function,,-> Get BEP20 Total Supply,,child,Returns the total supply of BEP20
BEP20 Function,,-> Transfer From,,child,Moves amount tokens from sender to recipient using the allowance mechanism. Amount is then deducted from the caller’s allowance.
BEP20 Transfer,,BEP20 Transfer,,parent,Send/Transfer BEP20 to an address
BEP20 Transfer Trigger,,BEP20 Transfer Trigger,,parent,Triggers whenever a BEP20 transfer event happened
BNB Balance Trigger,,BNB Balance Trigger,,parent,Triggers whenever BNB balance in wallet changes
BNB Transfer,,BNB Transfer,,parent,Send/Transfer BNB to an address
BscScan,,BscScan,,parent,Perform Bscscan operations
BscScan,,-> Get Bnb Balance for a Single Address,,child,Returns the Bnb balance of a given address.
BscScan,,-> Get Bnb Balance for Multiple Addresses(separated by a comma),,child,Returns the Bnb balance of the addresses(each address separated by a comma) entered.
BscScan,,-> Get transactions,,child,"Returns the list of transactions performed by an address, with optional pagination."
BscScan,,-> Get internal transactions,,child,"Returns the list of internal transactions performed by an address, with optional pagination."
BscScan,,-> Get internal transactions by hash,,child,Returns the list of internal transactions performed within a transaction.
BscScan,,-> Get internal transactions by block,,child,"Returns the list of internal transactions performed within a block range, with optional pagination."
BscScan,,-> Get list of Blocks Validated by Address,,child,Returns the list of blocks validated by an address.
BscScan,,-> Get Contract ABI,,child,Returns the contract Application Binary Interface ( ABI ) of a verified smart contract.
BscScan,,-> Get Contract Source Code,,child,Returns the Solidity source code of a verified smart contract.
BscScan,,-> Check Transaction Receipt Status,,child,Returns the status code of a transaction execution.
BscScan,,-> Get BEP-20 Token Circulating Supply by ContractAddress,,child,"Returns the current circulating supply of a BEP-20 token. 
                        Eg. a token with a balance of 215.241526476136819398 and 18 decimal places will be returned as 215241526476136819398"
BscScan,,-> Get BEP20 Token Supply,,child,"Returns the total supply of a BEP-20 token. The result is returned in the token's smallest decimal representation.
                        Eg. a token with a balance of 215.241526476136819398 and 18 decimal places will be returned as 215241526476136819398"
BscScan,,-> Get BEP20 Token Balance,,child,"Returns the current balance of a BEP-20 token of an address. The result is returned in the token's smallest decimal representation.
                        Eg. a token with a balance of 215.241526476136819398 and 18 decimal places will be returned as 215241526476136819398"
BscScan,,-> Get Historical BEP-20 Token TotalSupply by ContractAddress & BlockNo [PRO],,child,"Returns the historical amount of a BEP-20 token in circulation at a certain block height. The result is returned in the token's smallest decimal representation.
                        Eg. a token with a balance of 215.241526476136819398 and 18 decimal places will be returned as 215241526476136819398"
